LC,Accession Number,"Author, Primary","Authors, Multiple",Barcode,Bibliographic Format,Branch,Collection/Status,Copy,Corporate Author,Cost,Date Touched,Description,Edition,General Material Designation,Home Branch,ISBN,ISBN-Normal,ISBN-Normal 10,LC Classification 1,LCCN,Place of Publication,Publication Dates,Publication Year,Publisher,Series,Status,"Subject Headings, LC",Title,"Titles, Alternate"
QC 984 .C22 G56 2002,1468,"Gilliam, Harold","Gilliam, Harold",B1468,Monograph,Bay Observatory,Gen-nonc,,,,,"ix, 106 p. : ill. (some col.), maps ; 20 cm.",2nd ed.,text,Bay Observatory,0520229894 (alk. paper),9.78E+12,520229894,QC 984 .C22 G56 2002,2001027741,Berkeley,c2002,2002,University of California Press,California natural history guides ;; 63,Non-Circulating,Climate;San Francisco Bay Area (Calif.) - Climate;San Francisco Bay <Region>,Weather of the San Francisco Bay region,
QC 984 .C22 G56 2002,20521,"Gilliam, Harold","Gilliam, Harold",20521,Monograph,Learning Commons,Gen-nonc,,,,,"ix, 106 p. : ill. (some col.), maps ; 20 cm.",2nd ed.,text,Learning Commons,0520229894 (alk. paper),9.78E+12,520229894,QC 984 .C22 G56 2002,2001027741,Berkeley,c2002,2002,University of California Press,California natural history guides ;; 63,Non-Circulating,Climate;San Francisco Bay Area (Calif.) - Climate;San Francisco Bay <Region>,Weather of the San Francisco Bay region,
QC 984 .C22 G56 2002,21392,"Gilliam, Harold","Gilliam, Harold",21392,Monograph,Learning Commons,General,,,,,"ix, 106 p. : ill. (some col.), maps ; 20 cm.",2nd ed.,text,Learning Commons,0520229894 (alk. paper),9.78E+12,520229894,QC 984 .C22 G56 2002,2001027741,Berkeley,c2002,2002,University of California Press,California natural history guides ;; 63,Available,Climate;San Francisco Bay Area (Calif.) - Climate;San Francisco Bay <Region>,Weather of the San Francisco Bay region,
NX 65 .W45 2005,20939,"Weschler, Lawrence","Weschler, Lawrence",20939,Monograph,Learning Commons,General,,,,,"viii, 412 p. : ill. ; 21 cm.",1st Vintage bks ed.,text,Learning Commons,0679777407 (pbk.),9.78E+12,679777407,NX 65 .W45 2005,,New York,"2005, c2004",2005,Vintage Books,,Available,Arts;Popular culture,Vermeer in Bosnia : selected writings,
QE 43 .C76 1992,21660,"Crocker, Betty","Crocker, Betty;Reed, Barbara;Shaw, Eddie",21660,Monograph,Learning Commons,Activity,,,,,74 p. : ill. ; 28 cm.,,text,Learning Commons,,,,QE 43 .C76 1992,,"Riverview, Fla.",c1992,1992,Idea Factory,,Available,Geology - Study and teaching (Elementary);Geological modeling,Food for thought : edible Earth science,Idea Factory's food for thought : edible Earth science
GV 1507 .S56 2003,20618,"Slocum, Jerry","Slocum, Jerry;Botermans, Jack",20618,Monograph,Learning Commons,General,,,,,"192 p. : ill., ports. ; 26 cm.",,text,Learning Commons,1402716885,9.78E+12,1402716885,GV 1507 .S56 2003,,New York,"2004, c2001",2004,Sterling Pub.,,Available,Tangrams;Tangrams - History,The Tangram book : the story of the Chinese puzzle with over 2000 puzzles to solve,
QC 863 .W46x 2002,20396,"Wiebe, Ann","Wiebe, Ann;Pocock, Margo;Cordel, Betty",20396,Monograph,Learning Commons,Activity,,AIMS Education Foundation,,,142 p. : ill. ; 28 cm.,,text,Learning Commons,1881431967,9.78E+12,1881431967,QC863 .W46x 2002,,"Fresno, CA",c2002,2002,AIMS Education Foundation,,Available,Meteorology - Study and teaching (Elementary),"Weather sense : temperature, air pressure and wind",
QC 73.4 .R45 2009,21429,"Reilly, Kathleen M","Reilly, Kathleen M",21429,Monograph,Learning Commons,Activity,,,,,122 p. : ill. ; 26 cm.,,text,Learning Commons,9.78E+12,9.78E+12,1934670359,QC 73.4 .R45 2009,,"White River Junction, VT",c2009,2009,Nomad Press,,Available,Power resources - Juvenile literature;Force and energy - Juvenile literature;Power (Mechanics) - Experiments;Power resources;Science projects,Energy : investigate why we need power & how we get it : 25 projects,
QC 73.4 .R45 2009,21430,"Reilly, Kathleen M","Reilly, Kathleen M",21430,Monograph,Learning Commons,Act-nonc,,,,,122 p. : ill. ; 26 cm.,,text,Learning Commons,9.78E+12,9.78E+12,1934670359,QC 73.4 .R45 2009,,"White River Junction, VT",c2009,2009,Nomad Press,,Available,Power resources - Juvenile literature;Force and energy - Juvenile literature;Power (Mechanics) - Experiments;Power resources;Science projects,Energy : investigate why we need power & how we get it : 25 projects,
QD 40 .S54 1999,20514,"Miami University (Oxford, Ohio). Partners for Terrific Science Program",,20514,Monograph,Learning Commons,Activity,,"Miami University (Oxford, Ohio). Partners for Terrific Science Program;Diversey Corp",,,"xii, 75 p. : ill. ; 28 cm.",2nd ed.,text,Learning Commons,1883822114,9.78E+12,1883822114,QD 40 .S54 1999X ,,"Middletown, Ohio",c1999,1999,"Terrific Science Press at the Center for Chemical Education, Miami University",Science in our world ; v. 3;  v. 3,Available,Chemistry - Laboratory manuals,Dirt alert : the chemistry of cleaning,
QC 33 .S674 2005,21382,"Sobey, Edwin J. C","Sobey, Edwin J. C",21382,Monograph,Learning Commons,Activity,,,,,"viii, 195 p. : ill. ; 28 cm.",,text,Learning Commons,1569761930,9.78E+12,1569761930,QC 33 .S674 2005,2004028137,Chicago,c2005,2005,Zephyr Press,,Available,Physics - Study and teaching (Elementary) - Activity programs;Motion - Experiments,Loco-motion : physics models for the classroom,Locomotion
GB 471 .M46 1986,20588,"Menard, Henry W","Menard, Henry W",20588,Monograph,Learning Commons,General,,,,,"230 p., [4] p. of plates : ill. (some col.), maps ; 25 cm.",,text,Learning Commons,716750171,9.78E+12,716750171,GB 471 .M46 1986,86006573,New York,c1986,1986,Scientific American Library :;Distributed by W.H. Freeman,,Available,Islands;Island ecology,Islands,
QA 135.5 .C66 1994,20600,"Cook, Nancy","Cook, Nancy",20600,Monograph,Learning Commons,Activity,,Washington MESA (Project);Addison-Wesley Publishing Company,,,"xii, 112 p. : ill. ; 28 cm.",,text,Learning Commons,,,,QA 135.5 .C66 1994,,"Menlo Park, Calif.",c1994,1994,"Innovative Learning Publications, Addison- Wesley Pub. Co.",,Available,Mathematics - Textbooks;Pharmaceutical arithmetic - Textbooks,In the pharmacy,
QA 117 .W37 1995,20606,"Ward, Sandra","Ward, Sandra",20606,Monograph,Learning Commons,Activity,,,,,"ix, 102 p. : ill. ; 28 cm.",,text,Learning Commons,1561078123,9.78E+12,1561078123,QA 117 .W37 1995,,"Mountain View, Calif.",c1995,1995,Creative Publications,,Available,Fractions - Study and teaching (Elementary);Percentage - Study and teaching (Elementary);Decimal fractions - Study and teaching (Elementary);Mathematics - Study and teaching (Elementary),"Constructing ideas about fractions, decimals & percents","Fractions, decimals & percents"
QA 39.2 .S56 1999,20612,"Slavin, Stephen L","Slavin, Stephen L",20612,Monograph,Learning Commons,General,,,,,"x, 230 p. : ill. ; 24 cm.",Rev. ed.,text,Learning Commons,0471317519 (pbk. : alk. paper),9.78E+12,471317519,QA 39.2 .S56 1999,98037205,New York,c1999,1999,Wiley,,Available,Mathematics,All the math you'll ever need : a self-teaching guide,
QA 135.5 .N85 1993,20563,"Contestable, Julie Wellington","Contestable, Julie Wellington",20563,Monograph,Learning Commons,Activity,,,,,"xxii, 199 p. : ill. ; 28 cm.",,text,Learning Commons,201455250,9.78E+12,201455250,QA 135.5 .N85 1995,95127107,"Menlo Park, Calif.","c1995, 1993, 1994",1995,"Addison-Wesley Pub. Co., Innovative Learning Publications",,Available,Mathematics - Study and teaching (Elementary);Group work in education,Number power : a cooperative approach to mathematics and social development,
QA 135.5 .N85 1994,20942,"Contestable, Julie Wellington","Contestable, Julie Wellington",20942,Monograph,Learning Commons,Activity,,,,,"xxii, 199 p. : ill. ; 28 cm.",,text,Learning Commons,201455250,9.78E+12,201455250,QA 135.5 .N85 1995,95127107,"Menlo Park, Calif.","c1995, 1993, 1994",1995,"Addison-Wesley Pub. Co., Innovative Learning Publications",,Available,Mathematics - Study and teaching (Elementary);Group work in education,Number power : a cooperative approach to mathematics and social development,
QA 135.5 .N85 1995,20630,"Contestable, Julie Wellington","Contestable, Julie Wellington",20630,Monograph,Learning Commons,Activity,,,,,"xxii, 199 p. : ill. ; 28 cm.",,text,Learning Commons,201455250,9.78E+12,201455250,QA 135.5 .N85 1995,95127107,"Menlo Park, Calif.","c1995, 1993, 1994",1995,"Addison-Wesley Pub. Co., Innovative Learning Publications",,Available,Mathematics - Study and teaching (Elementary);Group work in education,Number power : a cooperative approach to mathematics and social development,
QA 135.5 .N85 1995,20624,"Contestable, Julie Wellington","Contestable, Julie Wellington",20624,Monograph,Learning Commons,Activity,,,,,"xxii, 199 p. : ill. ; 28 cm.",,text,Learning Commons,201455250,9.78E+12,201455250,QA 135.5 .N85 1995,95127107,"Menlo Park, Calif.","c1995, 1993, 1994",1995,"Addison-Wesley Pub. Co., Innovative Learning Publications",,Available,Mathematics - Study and teaching (Elementary);Group work in education,Number power : a cooperative approach to mathematics and social development,
QA 241 .C66 1997,20642,"Cook, Nancy","Cook, Nancy",20642,Monograph,Learning Commons,Activity,,Washington MESA,,,"xv, 136 p. : ill., charts ; 28 cm.",,text,Learning Commons,0201496070 (pbk.),9.78E+12,201496070,QA 241 .C66 1997,,"Palo Alto, Calif.",c1997,1997,Dale Seymour Publications,,Available,Cryptography;Ciphers;Mathematics,Secret codes,
QA 135.5 G58 1990,20582,"Glatzer, David J","Glatzer, David J;Glatzer, Joyce",20582,Monograph,Learning Commons,Activity,,,,,"vi, 57 p. : ill. 28 cm.",,text,Learning Commons,866515054,9.78E+12,866515054,QA 135.5 G58 1990,,"Palo Alto, CA",c1990,1990,Dale Seymour Publications,,Available,Mathematics - Study and teaching (Elementary);Problem solving,"Math intersections : a look at key mathematical concepts, grades 6-9",
QA 157 .S33 1992,20647,"Schadler, Reuben","Schadler, Reuben",20647,Monograph,Learning Commons,Activity,,,,,"ix, 198 p. : ill. ; 28 cm.",,text,Learning Commons,0866515453 (pbk.),9.78E+12,866515453,QA 157 .S33 1992,,"Palo Alto, CA",c1992,1992,Dale Seymour Publications,,Available,"Algebra - Problems, exercises, etc",Algebra problems : one step beyond,
QA 157 .I44 1995,21510,"Illingworth, Mark","Illingworth, Mark",21510,Monograph,Learning Commons,Act-nonc,,,,,"118 p., A1-A8 : ill. ; 28 cm.",,text,Learning Commons,1559530774,9.78E+12,1559530774,QA 157 .I44 1995,,"Berkeley, CA",1995,1995,Key Curriculum Press,,Non-Circulating,Mathematics - Study and teaching (Secondary);Algebra - Study and teaching (Secondary);Geometry - Study and teaching (Secondary),A graphing matter : activities for easing into algebra,Activities for easing into algebra
QA 157 .I44 1995,20635,"Illingworth, Mark","Illingworth, Mark",20635,Monograph,Learning Commons,Activity,,,,,"118 p., A1-A8 : ill. ; 28 cm.",,text,Learning Commons,1559530774,9.78E+12,1559530774,QA 157 .I44 1995,,"Berkeley, CA",1995,1995,Key Curriculum Press,,Available,Mathematics - Study and teaching (Secondary);Algebra - Study and teaching (Secondary);Geometry - Study and teaching (Secondary),A graphing matter : activities for easing into algebra,Activities for easing into algebra
QA 18 .W45 1994,21387,"Welchman-Tischler, Rosamond","Welchman-Tischler, Rosamond",21387,Monograph,Learning Commons,Activity,,,,,116 p. : ill. ; 28 cm.,,text,Learning Commons,938587757,9.78E+12,938587757,QA 18 .W45 1994,95126786,"White Plains, N.Y.",c1994,1994,Cuisenaire Co. of America,,Available,Mathematics - Study and teaching - Audio-visual aids;Mathematics - Study and teaching (Secondary);Manipulatives (Education),Teaching with manipulatives : middle school challenges,
QA 63 .O89 M38 1990,21386,"Overholt, James L","Overholt, James L;Aaberg, Nancy;Lindsey, Jim",21386,Monograph,Learning Commons,Activity,,,,,"xiii, 237 p. : ill. ; 28 cm.",,braille,Learning Commons,,,,QA 63 .O89 M38 1990,,"West Nyack, N.Y.",c1990,1990,Center for Applied Research in Education,,Available,Problem solving;Word problems (Mathematics);Mathematics - Study and teaching (Secondary),Math stories for problem solving success : ready-to-use activities for grades 7-12,
TH 846 .M24 2004,22283,"Macaulay, David","Macaulay, David",22283,DVD,Learning Commons,Gen-nonc,,WGBH Educational Foundation,,,"5 DVD videodiscs (various lengths.) : sd., col. ; 4 3/4 in ",,DVD/videorecording,Learning Commons,395963311,9.78E+12,395963311,TH 846 .M24 2004,28116,Boston,2004,2004,WGBH Boston Video,,Non-Circulating,Architecture;Structural engineering;Building;Structures (Architecture),Building big (DVD),Domes;Bridges;Tunnels;Skyscrapers;Dams
TH 846 .M24 2004,22284,"Macaulay, David","Macaulay, David",22284,DVD,Learning Commons,Gen-nonc,,WGBH Educational Foundation,,,"5 DVD videodiscs (various lengths.) : sd., col. ; 4 3/4 in ",,DVD/videorecording,Learning Commons,395963311,9.78E+12,395963311,TH 846 .M24 2004,28116,Boston,2004,2004,WGBH Boston Video,,Non-Circulating,Architecture;Structural engineering;Building;Structures (Architecture),Building big (DVD),Domes;Bridges;Tunnels;Skyscrapers;Dams
TH 846 .M24 2004,22285,"Macaulay, David","Macaulay, David",22285,DVD,Learning Commons,Gen-nonc,,WGBH Educational Foundation,,,"5 DVD videodiscs (various lengths.) : sd., col. ; 4 3/4 in ",,DVD/videorecording,Learning Commons,395963311,9.78E+12,395963311,TH 846 .M24 2004,28116,Boston,2004,2004,WGBH Boston Video,,Non-Circulating,Architecture;Structural engineering;Building;Structures (Architecture),Building big (DVD),Domes;Bridges;Tunnels;Skyscrapers;Dams
TH 846 .M24 2004,22286,"Macaulay, David","Macaulay, David",22286,DVD,Learning Commons,Gen-nonc,,WGBH Educational Foundation,,,"5 DVD videodiscs (various lengths.) : sd., col. ; 4 3/4 in ",,DVD/videorecording,Learning Commons,395963311,9.78E+12,395963311,TH 846 .M24 2004,28116,Boston,2004,2004,WGBH Boston Video,,Non-Circulating,Architecture;Structural engineering;Building;Structures (Architecture),Building big (DVD),Domes;Bridges;Tunnels;Skyscrapers;Dams
TH 846 .M24 2004,22282,"Macaulay, David","Macaulay, David",22282,DVD,Learning Commons,Gen-nonc,1,WGBH Educational Foundation,,,"5 DVD videodiscs (various lengths.) : sd., col. ; 4 3/4 in ",,DVD/videorecording,Learning Commons,395963311,9.78E+12,395963311,TH 846 .M24 2004,28116,Boston,2004,2004,WGBH Boston Video,,Non-Circulating,Architecture;Structural engineering;Building;Structures (Architecture),Building big (DVD),Domes;Bridges;Tunnels;Skyscrapers;Dams
TH 846 .M24 2004,20164,"Macaulay, David","Macaulay, David",20164,DVD,Learning Commons,General,,WGBH Educational Foundation,,,"5 DVD videodiscs (various lengths.) : sd., col. ; 4 3/4 in ",,DVD/videorecording,Learning Commons,395963311,9.78E+12,395963311,TH 846 .M24 2004,28116,Boston,2004,2004,WGBH Boston Video,,Available,Architecture;Structural engineering;Building;Structures (Architecture),Building big (DVD),Domes;Bridges;Tunnels;Skyscrapers;Dams
TH 846 .M24 2004,20165,"Macaulay, David","Macaulay, David",20165,DVD,Learning Commons,General,,WGBH Educational Foundation,,,"5 DVD videodiscs (various lengths.) : sd., col. ; 4 3/4 in ",,DVD/videorecording,Learning Commons,395963311,9.78E+12,395963311,TH 846 .M24 2004,28116,Boston,2004,2004,WGBH Boston Video,,Available,Architecture;Structural engineering;Building;Structures (Architecture),Building big (DVD),Domes;Bridges;Tunnels;Skyscrapers;Dams
TH 846 .M24 2004,20161,"Macaulay, David","Macaulay, David",20161,DVD,Learning Commons,General,,WGBH Educational Foundation,,,"5 DVD videodiscs (various lengths.) : sd., col. ; 4 3/4 in ",,DVD/videorecording,Learning Commons,395963311,9.78E+12,395963311,TH 846 .M24 2004,28116,Boston,2004,2004,WGBH Boston Video,,Available,Architecture;Structural engineering;Building;Structures (Architecture),Building big (DVD),Domes;Bridges;Tunnels;Skyscrapers;Dams
TH 846 .M24 2004,20162,"Macaulay, David","Macaulay, David",20162,DVD,Learning Commons,General,,WGBH Educational Foundation,,,"5 DVD videodiscs (various lengths.) : sd., col. ; 4 3/4 in ",,DVD/videorecording,Learning Commons,395963311,9.78E+12,395963311,TH 846 .M24 2004,28116,Boston,2004,2004,WGBH Boston Video,,Available,Architecture;Structural engineering;Building;Structures (Architecture),Building big (DVD),Domes;Bridges;Tunnels;Skyscrapers;Dams
TH 846 .M24 2004,20163,"Macaulay, David","Macaulay, David",20163,DVD,Learning Commons,General,,WGBH Educational Foundation,,,"5 DVD videodiscs (various lengths.) : sd., col. ; 4 3/4 in ",,DVD/videorecording,Learning Commons,395963311,9.78E+12,395963311,TH 846 .M24 2004,28116,Boston,2004,2004,WGBH Boston Video,,Available,Architecture;Structural engineering;Building;Structures (Architecture),Building big (DVD),Domes;Bridges;Tunnels;Skyscrapers;Dams
BF 233 .A242 2007,20166,"Ackerman, Diane","Ackerman, Diane",20166,DVD,Learning Commons,General,,"WGBH (Television station : Boston, Mass.);Green Umbrella Ltd;WETA-TV (Television station : Washington, D.C.)",,,"5 DVD videodiscs (various lengths, total 276 min.) : sd., col. ; 4 3/4 in ",,DVD/videorecording,Learning Commons,,,,BF 233 .A242 2007,,"Washington, D.C.",2007,2007,WGBH Educational Foundation,Nova (Television program); ,Available,Hearing;Smell;Taste;Touch;Vision;Senses and sensation;Video recordings for the hearing impaired;Documentary television programs,Mystery of the senses (DVD) : a Nova miniseries,Vision;Hearing;Taste;Touch;Smell
